Index#,Composition,a,b,c,v,b1,b2,b3,l1,p1,i1,e1,v1,c1,l2,p2,i2,e2,v2,c2,l3,p3,i3,e3,v3,c3,d1,d2,d3,a1,a2,a3,d4,d5,d6,a4,a5,a6,d7,d8,d9,a7,d0,EA (eV),S/U
11,CeSn,11.96975,6.62208,5.40556,428.47007,1.173243333,4.03396,3.186136667,2.3214,16.1986,0.04124,1.0221,65.1553,5.393,2.4199,18.187,0.02203,1.0263,91.8501,5.8815,1.9658,3.7309,0.01303,1.0299,130.1515,3.9752,3.60126,3.0664,3.36496,93.3492,86.2661,59.982,3.66122,4.21581,3.51169,115.3459,128.0071,116.5271,4.29387,7.20252,8.43162,117.8503,6.1328,,
12,GdGe,11.19096,6.39185,5.0832,363.605871,1.145653333,3.894276667,3.06416,2.2375,14.511,0.0112,1.0195,70.1897,5.9707,2.2951,15.4904,0.02086,1.0274,96.2745,5.8946,1.7917,2.8839,0.01395,1.0159,69.2945,3.9699,3.45599,2.83633,3.11909,96.5014,87.0068,58.4434,3.48012,3.99477,3.45599,119.5313,127.148,120.0738,4.11757,6.91198,7.72513,117.1958,5.67266,0.35837,S
13,GdSi,10.87178,6.41618,4.91642,342.946621,1.131,3.84311,2.942926667,2.2111,13.8094,0.0194,1.0294,101.8963,5.8935,2.2904,15.1101,0.02026,1.0402,140.7916,5.9039,1.6483,2.2709,0.01256,1.0082,35.6641,3.9756,3.41818,2.71914,3.02282,97.5483,88.2401,57.674,3.37618,3.90155,3.44177,120.5844,125.0764,123.2172,4.07588,6.83635,7.36076,115.3196,5.43827,0.57255,U
14,GdSn,11.63149,6.33524,5.37471,396.053679,1.16088,3.889153333,3.25169,2.3129,15.8263,0.0626,1.0339,82.3847,4.4966,2.2952,15.7357,0.02014,1.0167,59.0011,5.906,1.9644,3.7028,0.01358,1.0336,144.7489,3.9726,3.48412,3.10989,3.23829,91.0574,86.0479,58.4962,3.64618,4.06697,3.404,120.4299,126.2203,114.918,4.17202,6.96825,8.13393,117.9558,6.21978,,
15,LaGe,11.37403,6.78242,5.10445,393.775015,1.146033333,4.086356667,3.063186667,2.2562,14.902,0.0135,1.0186,67.7279,5.9499,2.4297,17.8979,0.02492,1.0459,157.0287,5.8475,1.7931,2.9074,0.01161,1.0118,51.8323,3.9791,3.58215,2.81477,3.25904,98.3923,87.9213,59.8344,3.48119,4.14657,3.57754,113.4942,128.0043,122.6599,4.28704,7.1643,7.64971,116.9445,5.62953,,
16,LaSi,10.3764,7.034,4.79096,349.680278,1.095876667,4.15288,2.8649,2.1874,13.3224,0.05944,1.0367,96.2066,4.6624,2.4682,17.065,0.03047,1.1145,373.1008,5.7696,1.6454,2.275,0.00496,1.0033,13.8173,3.9954,3.55459,2.57388,3.2142,101.569,88.9862,60.7931,3.20185,4.07776,3.63384,103.3262,126.1268,128.8109,4.34489,7.10918,6.63639,115.5395,5.14776,,
17,LaSn,11.96055,6.62962,5.40144,428.300987,1.16744,4.061113333,3.218696667,2.3111,16.0364,0.0355,1.0194,58.5307,5.5124,2.4292,18.3636,0.02307,1.0277,96.1105,5.8665,1.9656,3.7303,0.01289,1.0299,130.9625,3.9755,3.58986,3.0535,3.37604,93.2888,86.7202,60.4467,3.64133,4.22566,3.50778,116.4163,128.7057,116.4163,4.29333,7.17972,8.45132,118.0471,6.107,,
18,PrGe,11.34316,6.67019,5.11409,386.93751,1.14601,4.00745,3.035633333,2.2563,14.8908,0.00961,1.0191,70.2401,5.972,2.3932,17.2614,0.02278,1.0393,136.4696,5.8761,1.7917,2.8933,0.01164,1.0135,59.0381,3.9794,3.55752,2.82733,3.21609,97.9273,87.3834,59.1802,3.48808,4.10009,3.5559,114.7992,127.4048,122.1005,4.24525,7.11503,7.68501,116.794,5.65467,,
19,PrSi,10.24077,6.94224,4.7946,340.866732,1.092343333,3.99026,2.892093333,2.1736,13.125,0.05859,1.0335,86.7217,4.7634,2.4294,16.4404,0.02955,1.1068,349.3228,5.7904,1.645,2.2711,0.00445,1.004,16.7835,3.9959,3.50403,2.56361,3.16176,101.3609,88.6972,60.4753,3.16709,4.02966,3.6229,103.2869,126.4282,129.2114,4.30657,7.00806,6.6148,115.4945,5.12722,,
20,PrSn,11.90586,6.55224,5.41054,422.076352,1.171763333,4.023766667,3.188903333,2.322,16.1557,0.04953,1.0254,70.1682,5.1616,2.3938,17.6791,0.02213,1.0234,82.1038,5.8822,1.9653,3.7183,0.01297,1.0318,138.3644,3.9747,3.57725,3.08696,3.33616,92.5389,86.2092,59.5399,3.65605,4.17424,3.483,116.1193,127.3854,116.0209,4.26811,7.15449,8.34848,117.7237,6.17393,,
21,TmGe,10.54835,6.32739,5.14248,343.22749,1.13773,3.78484,3.079626667,2.223,14.1838,0.00725,1.0218,77.0886,5.9865,2.2121,14.0303,0.03227,1.0211,64.5191,5.3119,1.8114,2.9158,0.03597,1.0323,154.9798,3.612,3.33555,2.97438,3.04449,94.9822,93.8783,57.3539,3.33184,3.82917,3.38252,118.1497,127.2768,119.7326,4.12056,6.6711,7.61418,118.4716,5.94876,,
22,TmSi,10.7456,6.24369,4.96218,332.923771,1.1278,3.723646667,2.95352,2.2229,13.9733,0.01998,1.0323,108.1913,5.8886,2.2429,14.3771,0.01861,1.0311,109.33,5.9068,1.6497,2.2734,0.0116,1.0091,40.1881,3.9788,3.36467,2.74242,2.97227,96.4477,88.8926,57.1614,3.38235,3.86302,3.43748,123.4881,124.7098,122.0134,4.03023,6.72934,7.41779,115.2897,5.48484,0.43106,U
23,TmSn,11.38796,6.19295,5.35567,377.708845,1.158606667,3.76198,3.28664,2.3069,15.5603,0.07538,1.0429,94.1636,3.821,2.2266,14.446,0.01968,1.013,45.5375,5.9096,1.9655,3.693,0.01289,1.0367,156.6192,3.9746,3.40565,3.13687,3.17915,89.2251,86.1513,57.9713,3.63422,3.99904,3.34874,122.898,125.3379,114.5856,4.11022,6.81131,7.99807,117.9522,6.27374,,
